activities,cycleTime,edit,test,resrouces,interactingIDE,other,work
9,230,5,1,0,3,0,Debugging
3,94,1,1,0,1,0,Debugging
12,262,10,1,0,0,1,Debugging
2,48,1,1,0,0,0,Debugging
2,64,1,1,0,0,0,Debugging
9,285,8,1,0,0,0,Programming
9,217,5,1,3,0,0,Programming
12,77,7,1,4,0,0,Programming
6,206,4,1,1,0,0,Programming
12,109,7,1,4,0,0,Programming
6,245,3,1,2,0,0,Programming
2,46,1,1,0,0,0,Programming
2,27,1,1,0,0,0,Programming
2,25,1,1,0,0,0,Programming
2,37,1,1,0,0,0,Programming
3,21,2,1,0,0,0,Programming
3,36,2,1,0,0,0,Programming
2,25,1,1,0,0,0,Programming
4,171,3,1,0,0,0,Programming
2,46,1,1,0,0,0,Programming
2,13,1,1,0,0,0,Programming
4,40,3,1,0,0,0,Programming
3,61,2,1,0,0,0,Programming
5,52,4,1,0,0,0,Programming
4,29,3,1,0,0,0,Programming
2,73,1,1,0,0,0,Programming
2,24,1,1,0,0,0,Programming
2,34,1,1,0,0,0,Programming
2,8,1,1,0,0,0,Programming
4,23,3,1,0,0,0,Programming
4,30,3,1,0,0,0,Programming
2,8,1,1,0,0,0,Programming
3,15,2,1,0,0,0,Programming
4,31,3,1,0,0,0,Programming
3,34,1,1,0,0,1,Programming
5,40,4,1,0,0,0,Programming
4,76,1,2,0,0,1,Programming
2,20,1,1,0,0,0,Programming
64,920,61,1,0,2,0,Programming
2,18,1,1,0,0,0,Programming
2,18,1,1,0,0,0,Programming
19,301,17,1,0,0,1,Programming
3,97,1,1,1,0,0,Programming
2,20,1,1,0,0,0,Programming
16,208,12,1,2,1,0,Programming
5,190,4,1,0,0,0,Programming
8,57,7,1,0,0,0,Programming
3,50,2,1,0,0,0,Programming
3,19,1,1,0,0,1,Programming
11,59,10,1,0,0,0,Programming
3,14,2,1,0,0,0,Programming
7,67,6,1,0,0,0,Programming
3,13,2,1,0,0,0,Programming
3,52,1,1,0,0,1,Programming
3,25,2,1,0,0,0,Programming
3,27,1,1,0,0,1,Programming
3,30,2,1,0,0,0,Programming
4,35,3,1,0,0,0,Programming
4,31,3,1,0,0,0,Programming
4,19,3,1,0,0,0,Programming
11,229,9,1,0,1,0,Programming
7,69,6,1,0,0,0,Programming
8,50,7,1,0,0,0,Programming
3,38,2,1,0,0,0,Programming
2,38,1,1,0,0,0,Programming
2,14,1,1,0,0,0,Programming
2,33,1,1,0,0,0,Programming
2,50,1,1,0,0,0,Programming
3,41,1,1,0,1,0,Programming
3,60,2,1,0,0,0,Programming
6,33,5,1,0,0,0,Programming
5,556,1,2,0,2,0,Programming
4,76,3,1,0,0,0,Programming
2,41,1,1,0,0,0,Programming
2,66,1,1,0,0,0,Programming
2,83,1,1,0,0,0,Programming
2,71,1,1,0,0,0,Programming
5,243,1,1,1,2,0,Programming
10,181,8,1,1,0,0,Programming
4,43,3,1,0,0,0,Programming
4,123,2,1,0,1,0,Programming
8,191,4,2,0,1,1,Programming
8,247,4,1,2,1,0,Programming
6,85,3,1,0,2,0,Programming
3,82,2,1,0,0,0,Programming
3,68,1,1,0,1,0,Programming
4,75,2,1,0,1,0,Programming
15,443,12,1,1,0,1,Programming
8,257,6,1,0,1,0,Programming
3,125,2,1,0,0,0,Programming
3,207,1,1,0,1,0,Programming
5,78,4,1,0,0,0,Programming
4,36,1,2,0,1,0,Programming
